tools (comparison order: row x column),M100-C000_CRA_C,M100-C100_CRA_C,M100-C010_CRA_C,M100-C010-R_CRA_C,M100-C020-R_CRA_C,M100-C030-R_CRA_C,M090-C010-R_CRA_C,M080-C010-R_CRA_C,M100-C020_CRA_C,M100-C040_CRA_C,M100-C060_CRA_C,M100-C040-R_CRA_C,M100-C060-R_CRA_C,M090-C020-R_CRA_C,M080-C020-R_CRA_C
M100-C000_CRA_C P Value,1.0,2.8719471245608474E-11,0.9528424295801989,0.20356484061118718,0.01949440970694305,0.002322230016116422,6.802337459976826E-8,4.4029946355550464E-10,0.8360239504893114,0.3671365812484356,0.0025611401322137572,0.020278491165597767,0.11707984600504451,3.495926204077904E-8,2.128392351252728E-9
M100-C000_CRA_C Cohen D,0.0,Large,0.08936259909358643,Small,Medium,Large,Large,Large,0.01297354790002661,0.0862220793465217,Medium,Medium,Small,Large,Large
M100-C000_CRA_C Cliff's delta,0.0,1.0,-0.008888888888888889,-0.19111111111111112,-0.3511111111111111,-0.4577777777777778,0.8111111111111111,0.9377777777777778,0.03111111111111111,0.13555555555555557,0.4533333333333333,-0.3488888888888889,-0.23555555555555555,0.8288888888888889,0.9
M100-C100_CRA_C P Value,2.8719471245608474E-11,1.0,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11,2.8719471245608474E-11
M100-C100_CRA_C Cohen D,Large,NaN,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large,Large
M100-C100_CRA_C Cliff's delta,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
M100-C010_CRA_C P Value,0.9528424295801989,2.8719471245608474E-11,1.0,0.13537778532322642,0.013549158006559425,0.002688839981756508,2.4934439735169178E-8,5.2283177787160184E-11,0.847587480259332,0.4246622046508919,0.0012045979432564469,0.015958584261266173,0.08634644641194689,7.4385870796334075E-9,2.4878743509759715E-10
M100-C010_CRA_C Cohen D,0.08936259909358643,Large,0.0,Small,Medium,Large,Large,Large,0.1123976520266097,Small,Large,Medium,Small,Large,Large
M100-C010_CRA_C Cliff's delta,0.008888888888888889,1.0,0.0,-0.22444444444444445,-0.3711111111111111,-0.45111111111111113,0.8377777777777777,0.9866666666666667,0.028888888888888888,0.12,0.4866666666666667,-0.3622222222222222,-0.2577777777777778,0.8688888888888889,0.9511111111111111
M100-C010-R_CRA_C P Value,0.20356484061118718,2.8719471245608474E-11,0.13537778532322642,1.0,0.20356484061118718,0.03846924508795868,8.1210731472936E-9,3.878719567751432E-11,0.09479279235540516,0.010536525258653229,8.010747602926749E-6,0.26750270341605387,0.8015549378818438,3.3436436952527515E-9,7.033940097045388E-11
M100-C010-R_CRA_C Cohen D,Small,Large,Small,0.0,Small,Medium,Large,Large,Small,Medium,Large,Small,0.0648629971707486,Large,Large
M100-C010-R_CRA_C Cliff's delta,0.19111111111111112,1.0,0.22444444444444445,0.0,-0.19111111111111112,-0.3111111111111111,0.8666666666666667,0.9933333333333333,0.2511111111111111,0.3844444444444444,0.6711111111111111,-0.16666666666666666,-0.03777777777777778,0.8888888888888888,0.98
M100-C020-R_CRA_C P Value,0.01949440970694305,2.8719471245608474E-11,0.013549158006559425,0.20356484061118718,1.0,0.416135847078279,1.94330129765774E-9,3.5097591499777536E-11,0.008874707243582192,4.336778335062297E-4,8.513441062119043E-7,0.7787839689422887,0.25495317799825334,1.618971068317876E-9,5.772982092366874E-11
M100-C020-R_CRA_C Cohen D,Medium,Large,Medium,Small,0.0,Small,Large,Large,Medium,Large,Large,0.02882940183905627,Small,Large,Large
M100-C020-R_CRA_C Cliff's delta,0.3511111111111111,1.0,0.3711111111111111,0.19111111111111112,0.0,-0.12222222222222222,0.9022222222222223,0.9955555555555555,0.3933333333333333,0.5288888888888889,0.74,0.042222222222222223,0.1711111111111111,0.9066666666666666,0.9844444444444445
M100-C030-R_CRA_C P Value,0.002322230016116422,2.8719471245608474E-11,0.002688839981756508,0.03846924508795868,0.416135847078279,1.0,1.2291146989085178E-9,3.175215645967455E-11,6.728295058485712E-4,3.056599868356269E-5,7.38550419709938E-8,0.2488343839781535,0.05843684682842065,1.2291146989085178E-9,4.734024283692406E-11
M100-C030-R_CRA_C Cohen D,Large,Large,Large,Medium,Small,0.0,Large,Large,Large,Large,Large,Small,Medium,Large,Large
M100-C030-R_CRA_C Cliff's delta,0.4577777777777778,1.0,0.45111111111111113,0.3111111111111111,0.12222222222222222,0.0,0.9133333333333333,0.9977777777777778,0.5111111111111111,0.6266666666666667,0.8088888888888889,0.17333333333333334,0.28444444444444444,0.9133333333333333,0.9888888888888889
